episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.02,0.464556485414505,0.8518470525741577,0.5437343120574951,0.2972855865955353,0.7322782427072525,28,0.7718671560287476,0.6486427932977676,,,,,,,,,,,,
1,2,grader,strict_filter,-0.07,0.06636736541986465,-0.7624208331108093,0.4886983335018158,,,,,,,,,0.5331836827099323,0.11878958344459534,0.7443491667509079,,,,,,
1,3,generator,generate_answer,-0.07,0.3322862982749939,-0.38964977860450745,-0.009450806304812431,0.12751109898090363,,,,,,,,,,,0.666143149137497,0.3051751106977463,571,0.5637555494904518,,
1,4,verifier,verify_answer,-0.07,0.02227886952459812,-0.801415205001831,,,,,,,,,,,,,,,,,0.5111394347622991,0.09929239749908447
1,5,verifier,request_more_retrieval,-0.07,-0.3450271785259247,-0.8525064587593079,,,,,,,,,,,,,,,,,0.32748641073703766,0.07374677062034607
1,6,retriever,retrieve_more,-0.02,0.37865132093429565,1.0,0.5841078758239746,0.09960809350013733,0.6893256604671478,30,0.7920539379119873,0.5498040467500687,,,,,,,,,,,,
1,7,grader,strict_filter,-0.07,0.07067572325468063,-0.6293672919273376,0.5478245615959167,,,,,,,,,0.5353378616273403,0.18531635403633118,0.7739122807979584,,,,,,
1,8,generator,generate_answer,-0.07,-0.008390503004193306,-0.27088624238967896,0.2107454091310501,0.14027521014213562,,,,,,,,,,,0.49580474849790335,0.3645568788051605,670,0.5701376050710678,,
1,9,verifier,verify_answer,-0.07,-0.3043820559978485,-0.9633026719093323,,,,,,,,,,,,,,,,,0.34780897200107574,0.018348664045333862
1,10,verifier,request_more_retrieval,-0.07,-0.23365303874015808,-0.9987549185752869,,,,,,,,,,,,,,,,,0.38317348062992096,0.0006225407123565674
