episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.099398,0.255456,0.391111,0.34777,0.099398,0.255456,0.391111,0.34777,0.5496987700462341,20,0.6955555230379105,0.673884928226471,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.07,0,generator,0.032346,-0.484184,0.117815,,0.032346,-0.484184,0.117815,0.0,,,,,,,0.5161731913685799,0.2579081058502197,0.5589073933660984,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.294533,-0.280836,0.551628,0.230706,0.294533,-0.280836,0.551628,0.230706,,,,,,,,,,0.6472665667533875,0.35958199203014374,917,0.6153527572751045,
1,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.411699,,,,-0.411699,0.0,0.0,0.0,,,,,,,,,,,,,,0.2941506952047348
1,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.153213,,,,-0.153213,0.0,0.0,0.0,,,,,,,,,,,,,,0.42339326441287994
1,6,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.271345,0.261432,0.277158,0.28482,-0.271345,0.261432,0.277158,0.28482,0.364327535033226,20,0.6385787725448608,0.6424098461866379,,,,,,,,,,
1,7,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.07,0,generator,0.504375,-0.203972,-0.096993,,0.504375,-0.203972,-0.096993,0.0,,,,,,,0.7521873116493225,0.39801400899887085,0.45150327682495117,,,,,
1,8,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.526623,0.280385,0.446425,-0.21783,0.526623,0.280385,0.446425,-0.21783,,,,,,,,,,0.7633117437362671,0.6401924341917038,690,0.39108479768037796,
1,9,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.393172,,,,-0.393172,0.0,0.0,0.0,,,,,,,,,,,,,,0.3034140169620514
1,10,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.562508,,,,-0.562508,0.0,0.0,0.0,,,,,,,,,,,,,,0.21874591708183289
1,11,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.310695,0.315172,0.333639,0.434249,-0.310695,0.315172,0.333639,0.434249,0.34465229511260986,21,0.666819378733635,0.7171244472265244,,,,,,,,,,
1,12,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.62,1,,0.00459,-0.283399,0.192926,,0.00459,-0.283399,0.192926,0.0,,,,,,,0.5022950624115765,0.3583003580570221,0.5964630991220474,,,,,
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.400676,0.31055,0.101177,0.025859,-0.400676,0.31055,0.101177,0.025859,0.2996620088815689,21,0.5505884401500225,0.5129295866936445,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,strict_filter,-1.0,1,,0.140139,-0.769043,0.567251,,0.140139,-0.769043,0.567251,0.0,,,,,,,0.5700694546103477,0.11547830700874329,0.7836253643035889,,,,,
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.641027,0.527276,0.262344,0.082238,-0.641027,0.527276,0.262344,0.082238,0.17948639392852783,24,0.6311720758676529,0.5411189198493958,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-1.0,1,,0.255769,-0.650013,0.344576,,0.255769,-0.650013,0.344576,0.0,,,,,,,0.6278846114873886,0.17499345541000366,0.6722879409790039,,,,,
