question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.","Norway's status as an Expanding Circle country is described as increasingly fuzzy because English is losing ground in the higher education domain, with concern that Norwegian is being replaced by English in teaching, materials, and research.",supervisor_arch,"[""English.pdf""]","[""English.pdf"", ""English.pdf""]",direct_fact_lookup,easy,65.13556710000194,ok,,0.0,0.3225806451612903,0.2903225806451613,1.0,1.0,1.0,1.0
Which two pre-training tasks are used in BERT?,BERT uses masked language modeling and next sentence prediction.,"BERT is pre-trained using two unsupervised tasks: the ""masked LM"" (MLM) and the ""next sentence prediction"" (NSP) task.",supervisor_arch,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",direct_fact_lookup,easy,119.12563449999652,ok,,0.0,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0,1.0
"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.","The deepest residual network reported in the ResNet paper is 152 layers, which is 8 times deeper than VGG nets.",supervisor_arch,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",direct_fact_lookup,easy,123.51046570000108,ok,,0.0,0.9268292682926829,0.7804878048780488,1.0,1.0,1.0,1.0
What is Naive RAG according to the survey?,"Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.","Naive RAG mainly consists of three parts: indexing, retrieval, and generation.",supervisor_arch,"[""RAGSurvey.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",definition_explanation,medium,89.18230019999828,ok,,0.0,0.21739130434782608,0.21739130434782608,1.0,1.0,1.0,1.0
What is self-attention in the Transformer paper?,Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,Self-attention is an attention mechanism relating different positions of a single sequence in order to compute a representation of the sequence.,supervisor_arch,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]",definition_explanation,medium,104.56988219999766,ok,,0.0,0.4090909090909091,0.4090909090909091,1.0,0.5,1.0,1.0
Why does TabNet argue that tabular data is difficult for standard deep neural networks?,"TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.","TabNet argues that tabular data is difficult for standard deep neural networks because previously-proposed DNN architectures are not well-suited for tabular data: they are vastly overparametrized, and the lack of appropriate inductive bias often causes them to fail to find optimal solutions for tabular decision manifolds.",supervisor_arch,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",definition_explanation,medium,98.86325060000308,ok,,0.0,0.5116279069767442,0.37209302325581395,1.0,1.0,1.0,1.0
How does the grammar translation method differ from the Reform movement in language teaching priorities?,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.","The Reform movement in language teaching prioritizes student-centered approaches, whereas the grammar translation method focuses on explicit grammar instruction and translation exercises.",supervisor_arch,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf"", ""English.pdf"", ""RAGSurvey.pdf"", ""English.pdf""]",intra_paper_comparison,medium,194.78814860000057,ok,,0.0,0.4,0.2,1.0,0.5,1.0,1.0
How does BERT compare feature-based transfer approaches with fine-tuning approaches?,"Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.","BERT is effective for both fine-tuning and feature-based approaches, as demonstrated by its competitive performance with state-of-the-art methods in the CoNLL-2003 Named Entity Recognition task. The feature-based approach, which extracts fixed features from the pre-trained model, achieves results comparable to fine-tuning the entire model, with the best performing method concatenating the token representations from the top four hidden layers of the pre-trained Transformer.",supervisor_arch,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",intra_paper_comparison,medium,134.5874874000001,ok,,0.0,0.30612244897959184,0.14285714285714285,1.0,1.0,1.0,1.0
How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,"Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.","The key difference between plain networks and residual networks in the ResNet paper's framing of the optimization problem is that residual networks have shortcut connections that add neither extra parameter nor computational complexity, allowing them to be trained end-to-end by SGD with backpropagation, whereas plain networks do not have these shortcut connections and exhibit higher training error when the depth increases.",supervisor_arch,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf"", ""ImgRecog.pdf""]",intra_paper_comparison,medium,120.46574479999981,ok,,0.0,0.25806451612903225,0.1935483870967742,1.0,1.0,1.0,1.0
"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.","The major components of the encoder are a stack of N = 6 identical layers, each consisting of a multi-head self-attention mechanism and a simple, position-wise fully connected feed-forward network, with residual connections and layer normalization. The major components of the decoder are also a stack of N = 6 identical layers, with an additional sub-layer performing multi-head attention over the output of the encoder stack, and a modified self-attention sub-layer to prevent positions from attending to subsequent positions.",supervisor_arch,"[""AttentionIsAllYouNeed.pdf""]","[""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]",figure_table_diagram_grounded,medium,97.25775760000033,ok,,0.0,0.3389830508474576,0.23728813559322035,1.0,0.5,1.0,1.0
