episode,question_id,final_status,total_reward,num_steps,num_llm_calls,latency_seconds,token_usage,citation_support,verification_pass,buffer_size
1,Q005,accepted,-0.30389999999999995,4,3,79.2233,4220,1.0,1,4
2,Q027,accepted,-3.5183999999999997,10,7,132.735,7980,1.0,1,14
3,Q029,timeout,-7.404399999999999,12,8,148.5744,8648,0.0,0,26
4,Q009,accepted,-0.14979999999999993,4,3,46.0595,2370,1.0,1,30
5,Q001,accepted,-3.9181999999999992,10,7,148.7211,8159,1.0,1,40
6,Q024,accepted,-5.275,10,7,191.869,9859,1.0,1,50
7,Q007,accepted,-0.23520000000000008,4,3,67.8142,3426,1.0,1,54
8,Q031,timeout,-5.728,12,8,143.9754,6822,0.0,0,66
9,Q032,timeout,-7.360200000000001,12,8,161.0748,8071,0.0,0,78
10,Q021,timeout,-6.016,12,8,124.7514,6379,0.0,0,90
11,Q018,accepted,-0.016100000000000003,4,3,38.8577,2097,1.0,1,94
12,Q006,timeout,-6.8443000000000005,12,7,152.0383,6440,0.0,0,106
13,Q029,rejected,-3.5774999999999997,10,7,99.9643,5346,0.0,0,116
14,Q029,timeout,-8.2136,12,8,179.9118,10305,0.0,0,128
15,Q007,accepted,-0.792,4,3,106.2314,3677,1.0,1,132
16,Q030,accepted,-0.30910000000000004,4,3,82.2351,5005,1.0,1,136
17,Q032,rejected,-3.7035,10,7,96.0305,4019,0.3333,0,146
18,Q027,accepted,-0.2309,4,3,60.2983,3444,1.0,1,150
19,Q037,accepted,-0.14459999999999995,4,3,57.0206,3493,1.0,1,154
20,Q038,accepted,-3.1229,10,7,128.2972,7027,1.0,1,164
