architecture,question,category,difficulty,answer,ground_truth,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr,latency_sec,faithfulness,context_precision,context_recall
simple_hybrid_rag,Why is Norway’s status as an Expanding Circle country described as increasingly fuzzy?,direct_fact_lookup,easy,Norway's status as an Expanding Circle country is not described as increasingly fuzzy in the provided documents.,"It is described as fuzzy because English has expanded strongly in Norway beyond a typical foreign-language role, including broad use in education, business, and international communication.",0.0,0.23255813953488372,0.23255813953488372,1.0,0.5,1.0,1.0,3.2816,,,
simple_hybrid_rag,Which two pre-training tasks are used in BERT?,direct_fact_lookup,easy,The two pre-training tasks used in BERT are Masked LM and next sentence prediction.,BERT uses masked language modeling and next sentence prediction.,0.0,0.5217391304347826,0.5217391304347826,1.0,1.0,1.0,1.0,2.8805,,,
simple_hybrid_rag,"How deep is the deepest residual network reported in the ResNet paper, and how does it compare to VGG in depth?",direct_fact_lookup,easy,"The deepest residual network reported is 152 layers, which is 8 times deeper than VGG nets, yet still has lower complexity.","The deepest residual network reported is 152 layers, which is about 8 times deeper than VGG nets mentioned in the paper.",0.0,0.7619047619047619,0.7619047619047619,1.0,1.0,1.0,1.0,2.7945,,,
simple_hybrid_rag,What is Naive RAG according to the survey?,definition_explanation,medium,"Naive RAG represents the earliest methodology in the Retrieval-Augmented Generation research paradigm, which mainly consists of three parts: indexing, retrieval, and generation.","Naive RAG is the basic retrieve-read framework with three stages: indexing documents into chunks and vectors, retrieving the top relevant chunks for a query, and generating an answer from the query plus the retrieved context.",0.0,0.2456140350877193,0.21052631578947367,1.0,1.0,1.0,1.0,2.7036,,,
simple_hybrid_rag,What is self-attention in the Transformer paper?,definition_explanation,medium,"Self-attention is an attention mechanism relating different positions of a single sequence in order to compute a representation of the sequence, and in the Transformer, it is used in three different ways, including encoder-decoder attention, self-attention layers in the encoder, and self-attention layers in the decoder.",Self-attention is an attention mechanism that relates different positions within the same sequence so the model can build representations using dependencies across positions.,0.0,0.2898550724637681,0.2898550724637681,1.0,0.5,1.0,1.0,2.739,,,
simple_hybrid_rag,Why does TabNet argue that tabular data is difficult for standard deep neural networks?,definition_explanation,medium,"TabNet argues that standard deep neural networks are not well-suited for tabular data because they are vastly overparametrized, lacking appropriate inductive bias, which often causes them to fail to find optimal solutions for tabular decision manifolds.","TabNet argues that standard deep networks are often poorly suited to tabular data because they lack the right inductive bias, can be overparameterized for tabular decision boundaries, and are often outperformed by tree-based methods that are efficient, interpretable, and fast.",0.0,0.5,0.4210526315789474,1.0,1.0,1.0,1.0,2.9525,,,
simple_hybrid_rag,How does the grammar translation method differ from the Reform movement in language teaching priorities?,intra_paper_comparison,medium,The retrieved documents do not provide information on the grammar translation method or the Reform movement in language teaching priorities.,"Grammar translation emphasized abstract grammar rules, vocabulary, and translation. The Reform movement shifted the focus toward listening, speaking, pronunciation, phonetics, and discovering grammar through more coherent language use.",0.0,0.2916666666666667,0.25,1.0,0.25,1.0,0.5,8.7916,,,
simple_hybrid_rag,How does BERT compare feature-based transfer approaches with fine-tuning approaches?,intra_paper_comparison,medium,"BERT compares feature-based transfer approaches with fine-tuning approaches by applying both methods to the CoNLL-2003 Named Entity Recognition task, demonstrating that BERT is effective for both approaches, with the feature-based approach concatenating token representations from the top four hidden layers of the pre-trained Transformer being only 0.3 F1 behind fine-tuning the entire model.","Feature-based approaches use pretrained representations as features inside task-specific architectures, while fine-tuning approaches add minimal new parameters and adapt all pretrained parameters directly on the downstream task. BERT is presented as a fine-tuning based model.",0.0,0.2727272727272727,0.2272727272727273,1.0,1.0,1.0,1.0,11.732,,,
simple_hybrid_rag,How do plain networks differ from residual networks in the ResNet paper’s framing of the optimization problem?,intra_paper_comparison,medium,"Plain networks differ from residual networks in that the former suffer from increased depth, exhibiting higher training error when going deeper, whereas residual networks manage to overcome this optimization difficulty and demonstrate accuracy gains when the depth increases.","Plain networks simply stack layers and become harder to optimize as depth increases, while residual networks reformulate learning as fitting a residual function with shortcut connections, making deeper models easier to optimize.",0.0,0.2857142857142857,0.17142857142857143,1.0,1.0,1.0,1.0,12.663,,,
simple_hybrid_rag,"According to Figure 1 in the Transformer paper, what are the major components of the encoder and decoder?",figure_table_diagram_grounded,medium,"The Transformer's encoder and decoder, as shown in Figure 1, are composed of stacked self-attention and point-wise, fully connected layers, with the encoder consisting of a stack of identical layers and the decoder having an additional sub-layer for multi-head attention over the encoder's output.","The encoder uses input embeddings plus positional encoding, multi-head self-attention, add-and-norm, and feed-forward layers. The decoder uses output embeddings shifted right plus positional encoding, masked multi-head self-attention, attention over encoder outputs, add-and-norm, feed-forward layers, and finally a linear layer with softmax.",0.0,0.3764705882352941,0.2352941176470588,1.0,0.5,1.0,1.0,9.5588,,,
