episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.046909,0.220887,0.029963,-0.494066,0.046909,0.220887,0.029963,-0.494066,0.5234543979167938,8,0.5149816479533911,0.2529667615890503,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.519343,-0.887427,0.007872,,0.519343,-0.887427,0.007872,0.0,,,,,,,0.7596713900566101,0.1,0.5039359233342111,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.717404,0.564,0.109192,-0.009057,0.717404,0.564,0.109192,-0.009057,,,,,,,,,,0.8587020039558411,0.7819999754428864,267,0.49547125957906246,
1,4,verifier,verify_answer,verify_answer,0.7092,1,,-0.773822,,,,-0.773822,0.0,0.0,0.0,,,,,,,,,,,,,,0.11308887600898743
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.023129,-0.009972,-0.289112,-0.838822,0.023129,-0.009972,-0.289112,-0.838822,0.5115643739700317,7,0.35544411838054657,0.08058908581733704,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.499576,-0.806841,-0.314714,,0.499576,-0.806841,-0.314714,0.0,,,,,,,0.7497878968715668,0.1,0.34264303743839264,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.284358,0.849375,0.055586,0.179536,0.284358,0.849375,0.055586,0.179536,,,,,,,,,,0.6421789079904556,0.9246877431869507,286,0.5897680670022964,
2,4,verifier,verify_answer,verify_answer,0.7869,1,,-0.764032,,,,-0.764032,0.0,0.0,0.0,,,,,,,,,,,,,,0.117983877658844
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.038539,0.284672,-0.210758,-0.584966,-0.038539,0.284672,-0.210758,-0.584966,0.48073055781424046,8,0.39462124556303024,0.2075168788433075,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.528444,-0.866316,-0.228414,,0.528444,-0.866316,-0.228414,0.0,,,,,,,0.7642218172550201,0.1,0.3857930600643158,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.810153,0.477075,-0.277962,0.411374,0.810153,0.477075,-0.277962,0.411374,,,,,,,,,,0.905076414346695,0.7385377436876297,265,0.7056868076324463,
3,4,verifier,verify_answer,verify_answer,0.6616,1,,-0.916972,,,,-0.916972,0.0,0.0,0.0,,,,,,,,,,,,,,0.04151424765586853
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.005201,-0.005113,-0.095454,-0.688764,-0.005201,-0.005113,-0.095454,-0.688764,0.49739928380586207,7,0.45227282121777534,0.15561804175376892,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.760786,-0.823032,-0.104152,,0.760786,-0.823032,-0.104152,0.0,,,,,,,0.8803930282592773,0.1,0.4479241222143173,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.502849,0.327332,-0.086354,0.18662,0.502849,0.327332,-0.086354,0.18662,,,,,,,,,,0.751424640417099,0.6636657863855362,266,0.5933098345994949,
4,4,verifier,verify_answer,verify_answer,0.681,1,,-0.538259,,,,-0.538259,0.0,0.0,0.0,,,,,,,,,,,,,,0.23087066411972046
5,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.056077,0.003758,-0.015617,-0.793775,0.056077,0.003758,-0.015617,-0.793775,0.5280383285135031,7,0.4921916243620217,0.10311233997344971,,,,,,,,,,
5,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.536267,-0.756567,-0.021758,,0.536267,-0.756567,-0.021758,0.0,,,,,,,0.7681333124637604,0.12171670794487,0.48912086337804794,,,,,
5,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.656342,0.457621,-0.043833,0.285865,0.656342,0.457621,-0.043833,0.285865,,,,,,,,,,0.8281707763671875,0.7288106679916382,285,0.6429326087236404,
5,4,verifier,verify_answer,verify_answer,0.2809,1,,-0.4181,,,,-0.4181,0.0,0.0,0.0,,,,,,,,,,,,,,0.2909499555826187
6,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.084047,0.056549,-0.553496,-0.857799,-0.084047,0.056549,-0.553496,-0.857799,0.45797646045684814,7,0.22325190901756287,0.07110032439231873,,,,,,,,,,
6,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.714388,-0.632481,-0.308599,,0.714388,-0.632481,-0.308599,0.0,,,,,,,0.857194185256958,0.1837594211101532,0.34570060670375824,,,,,
6,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.864556,0.556729,0.048839,-0.288555,0.864556,0.556729,0.048839,-0.288555,,,,,,,,,,0.9322777986526489,0.77836474776268,224,0.355722576379776,
6,4,verifier,verify_answer,verify_answer,0.4544,1,,-0.45023,,,,-0.45023,0.0,0.0,0.0,,,,,,,,,,,,,,0.27488523721694946
7,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.028987,0.523388,-0.35925,-0.578364,0.028987,0.523388,-0.35925,-0.578364,0.5144933462142944,9,0.3203749805688858,0.21081820130348206,,,,,,,,,,
7,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.642961,-0.884101,-0.135836,,0.642961,-0.884101,-0.135836,0.0,,,,,,,0.8214805126190186,0.1,0.43208198994398117,,,,,
7,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.265732,0.470747,0.029185,0.428004,0.265732,0.470747,0.029185,0.428004,,,,,,,,,,0.6328661143779755,0.735373392701149,314,0.7140019088983536,
7,4,verifier,verify_answer,verify_answer,0.7789,1,,-0.78598,,,,-0.78598,0.0,0.0,0.0,,,,,,,,,,,,,,0.1070101261138916
