episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.319519,-0.437926,0.263814,0.715893,0.319519,-0.437926,0.263814,0.715893,0.6597595363855362,12,0.6319069266319275,0.8579463064670563,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.07,0,generator,0.303464,-0.38128,0.156873,,0.303464,-0.38128,0.156873,0.0,,,,,,,0.6517318040132523,0.30935990810394287,0.578436516225338,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.34651,0.194058,-0.122134,-0.009597,0.34651,0.194058,-0.122134,-0.009597,,,,,,,,,,0.673255205154419,0.5970291048288345,518,0.4952016402967274,
1,4,verifier,verify_answer,verify_answer,0.635,1,,-0.160682,,,,-0.160682,0.0,0.0,0.0,,,,,,,,,,,,,,0.41965892910957336
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.035027,-0.633109,0.236529,0.426432,-0.035027,-0.633109,0.236529,0.426432,0.482486579567194,9,0.6182643845677376,0.7132159769535065,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.07,0,generator,0.150807,-0.26751,0.387642,,0.150807,-0.26751,0.387642,0.0,,,,,,,0.5754036158323288,0.3662448674440384,0.6938211470842361,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.081778,-0.347267,-0.210369,-0.209198,0.081778,-0.347267,-0.210369,-0.209198,,,,,,,,,,0.540889210999012,0.3263663500547409,430,0.39540114998817444,
2,4,verifier,verify_answer,verify_answer,0.635,1,,-0.667295,,,,-0.667295,0.0,0.0,0.0,,,,,,,,,,,,,,0.16635248064994812
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.119282,-0.915748,0.134884,0.25898,0.119282,-0.915748,0.134884,0.25898,0.5596411973237991,6,0.5674419105052948,0.6294898092746735,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,strict_filter,-0.07,0,generator,-0.281756,-0.159599,0.498354,,-0.281756,-0.159599,0.498354,0.0,,,,,,,0.35912203788757324,0.4202005863189697,0.7491772025823593,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.08487,-0.305943,-0.470354,-0.470553,0.08487,-0.305943,-0.470354,-0.470553,,,,,,,,,,0.542435210198164,0.34702856838703156,279,0.2647237181663513,
3,4,verifier,verify_answer,verify_answer,0.635,1,,-0.681472,,,,-0.681472,0.0,0.0,0.0,,,,,,,,,,,,,,0.15926414728164673
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.108698,-0.589753,0.12325,0.226073,-0.108698,-0.589753,0.12325,0.226073,0.44565076753497124,10,0.5616250820457935,0.6130364015698433,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.07,0,generator,-0.818033,-0.757142,0.301822,,-0.818033,-0.757142,0.301822,0.0,,,,,,,0.09098374843597412,0.12142881751060486,0.6509108394384384,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.239059,-0.359071,-0.1995,-0.644217,0.239059,-0.359071,-0.1995,-0.644217,,,,,,,,,,0.619529515504837,0.3204645663499832,329,0.17789173126220703,
4,4,verifier,verify_answer,verify_answer,0.635,1,,-0.699802,,,,-0.699802,0.0,0.0,0.0,,,,,,,,,,,,,,0.15009918808937073
5,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.557294,-0.80186,0.016048,0.406002,-0.557294,-0.80186,0.016048,0.406002,0.22135275602340698,7,0.508023913949728,0.703000858426094,,,,,,,,,,
5,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,strict_filter,-0.07,0,generator,-0.843274,-0.800787,0.564649,,-0.843274,-0.800787,0.564649,0.0,,,,,,,0.07836306095123291,0.1,0.7823244035243988,,,,,
5,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.128223,-0.40082,-0.00466,-0.57744,-0.128223,-0.40082,-0.00466,-0.57744,,,,,,,,,,0.4358883574604988,0.29959020018577576,407,0.21128001809120178,
5,4,verifier,verify_answer,verify_answer,0.635,1,,-0.924362,,,,-0.924362,0.0,0.0,0.0,,,,,,,,,,,,,,0.037819117307662964
