episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.046909,0.220887,0.029963,-0.494066,0.046909,0.220887,0.029963,-0.494066,0.5234543979167938,8,0.5149816479533911,0.2529667615890503,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.494965,-0.875999,-0.037586,,0.494965,-0.875999,-0.037586,0.0,,,,,,,0.7474826127290726,0.5310001820325851,0.4812069144099951,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.712704,0.653473,0.210262,-0.011075,0.712704,0.653473,0.210262,-0.011075,,,,,,,,,,0.8563518524169922,0.8267366290092468,280,0.49446262419223785,
1,4,verifier,verify_answer,verify_answer,0.7141,1,,-0.799163,,,,-0.799163,0.0,0.0,0.0,,,,,,,,,,,,,,0.10041838884353638
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.023129,-0.009972,-0.289112,-0.838822,0.023129,-0.009972,-0.289112,-0.838822,0.5115643739700317,7,0.35544411838054657,0.08058908581733704,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.499705,-0.806833,-0.314747,,0.499705,-0.806833,-0.314747,0.0,,,,,,,0.7498522698879242,0.5482918173074722,0.34262625873088837,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,0.284518,0.849201,0.055648,0.179527,0.284518,0.849201,0.055648,0.179527,,,,,,,,,,0.6422588974237442,0.9246004223823547,286,0.5897633507847786,
2,4,verifier,verify_answer,verify_answer,0.7872,1,,-0.761911,,,,-0.761911,0.0,0.0,0.0,,,,,,,,,,,,,,0.11904463171958923
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.038539,0.284672,-0.210758,-0.584966,-0.038539,0.284672,-0.210758,-0.584966,0.48073055781424046,8,0.39462124556303024,0.2075168788433075,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.528428,-0.866329,-0.228437,,0.528428,-0.866329,-0.228437,0.0,,,,,,,0.764213889837265,0.533417746424675,0.38578125834465027,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.907315,0.577161,-0.410222,0.29494,0.907315,0.577161,-0.410222,0.29494,,,,,,,,,,0.9536575078964233,0.7885802984237671,232,0.6474698036909103,
3,4,verifier,verify_answer,verify_answer,0.3839,1,,-0.920796,,,,-0.920796,0.0,0.0,0.0,,,,,,,,,,,,,,0.039602041244506836
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.005201,-0.005113,-0.095454,-0.688764,-0.005201,-0.005113,-0.095454,-0.688764,0.49739928380586207,7,0.45227282121777534,0.15561804175376892,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.76072,-0.823052,-0.104056,,0.76072,-0.823052,-0.104056,0.0,,,,,,,0.8803600072860718,0.5442369431257248,0.4479719027876854,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.599569,0.410223,-0.192031,0.068012,0.599569,0.410223,-0.192031,0.068012,,,,,,,,,,0.7997844517230988,0.705111488699913,238,0.5340058468282223,
4,4,verifier,verify_answer,verify_answer,0.6891,1,,-0.496624,,,,-0.496624,0.0,0.0,0.0,,,,,,,,,,,,,,0.25168806314468384
5,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.056077,0.003758,-0.015617,-0.793775,0.056077,0.003758,-0.015617,-0.793775,0.5280383285135031,7,0.4921916243620217,0.10311233997344971,,,,,,,,,,
5,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.536613,-0.756547,-0.021848,,0.536613,-0.756547,-0.021848,0.0,,,,,,,0.7683064043521881,0.5608633011579514,0.48907604813575745,,,,,
5,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.656985,0.489898,-0.223852,0.136474,0.656985,0.489898,-0.223852,0.136474,,,,,,,,,,0.8284926116466522,0.7449488341808319,242,0.5682370364665985,
5,4,verifier,verify_answer,verify_answer,0.3211,1,,-0.414164,,,,-0.414164,0.0,0.0,0.0,,,,,,,,,,,,,,0.2929180711507797
6,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.084047,0.056549,-0.553496,-0.857799,-0.084047,0.056549,-0.553496,-0.857799,0.45797646045684814,7,0.22325190901756287,0.07110032439231873,,,,,,,,,,
6,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.714209,-0.632536,-0.308614,,0.714209,-0.632536,-0.308614,0.0,,,,,,,0.8571043610572815,0.5918659418821335,0.345692977309227,,,,,
6,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.861266,0.67601,-0.075768,-0.274985,0.861266,0.67601,-0.075768,-0.274985,,,,,,,,,,0.9306331276893616,0.8380052149295807,212,0.36250729858875275,
6,4,verifier,verify_answer,verify_answer,0.6882,1,,-0.531816,,,,-0.531816,0.0,0.0,0.0,,,,,,,,,,,,,,0.23409196734428406
7,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.028987,0.523388,-0.35925,-0.578364,0.028987,0.523388,-0.35925,-0.578364,0.5144933462142944,9,0.3203749805688858,0.21081820130348206,,,,,,,,,,
7,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.643006,-0.884084,-0.135804,,0.643006,-0.884084,-0.135804,0.0,,,,,,,0.8215029239654541,0.5289790481328964,0.4320978745818138,,,,,
7,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.265791,0.470621,0.029127,0.428006,0.265791,0.470621,0.029127,0.428006,,,,,,,,,,0.6328955590724945,0.7353105396032333,314,0.7140029519796371,
7,4,verifier,verify_answer,verify_answer,0.7789,1,,-0.785571,,,,-0.785571,0.0,0.0,0.0,,,,,,,,,,,,,,0.10721451044082642
8,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.117803,-0.408473,-0.01097,-0.45954,-0.117803,-0.408473,-0.01097,-0.45954,0.4410986490547657,5,0.4945148783735931,0.27023012936115265,,,,,,,,,,
8,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.601674,-0.690984,-0.09311,,0.601674,-0.690984,-0.09311,0.0,,,,,,,0.8008371293544769,0.5772541016340256,0.45344487950205803,,,,,
8,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.789759,0.533291,-0.008636,-0.072713,0.789759,0.533291,-0.008636,-0.072713,,,,,,,,,,0.8948792815208435,0.7666457295417786,244,0.4636436216533184,
8,4,verifier,verify_answer,verify_answer,0.5055,1,,-0.959692,,,,-0.959692,0.0,0.0,0.0,,,,,,,,,,,,,,0.020154207944869995
9,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.033283,0.128966,-0.38506,-0.71701,0.033283,0.128966,-0.38506,-0.71701,0.5166414361447096,8,0.3074702173471451,0.14149489998817444,,,,,,,,,,
9,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.37663,-0.890738,-0.350619,,0.37663,-0.890738,-0.350619,0.0,,,,,,,0.6883150935173035,0.5273154675960541,0.32469069957733154,,,,,
9,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.596423,0.482275,0.218893,-0.071015,0.596423,0.482275,0.218893,-0.071015,,,,,,,,,,0.7982113361358643,0.7411377131938934,273,0.46449271589517593,
9,4,verifier,verify_answer,verify_answer,0.6452,1,,-0.64306,,,,-0.64306,0.0,0.0,0.0,,,,,,,,,,,,,,0.17847004532814026
10,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.102988,-0.397989,-0.460611,-0.485835,0.102988,-0.397989,-0.460611,-0.485835,0.5514937900006771,5,0.26969441771507263,0.25708262622356415,,,,,,,,,,
10,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.707117,-0.382586,-0.189785,,0.707117,-0.382586,-0.189785,0.0,,,,,,,0.8535587191581726,0.6543535962700844,0.4051072597503662,,,,,
10,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.751799,0.619266,-0.181121,0.063126,0.751799,0.619266,-0.181121,0.063126,,,,,,,,,,0.8758996427059174,0.8096327781677246,239,0.5315629243850708,
10,4,verifier,verify_answer,verify_answer,0.6521,1,,-0.667314,,,,-0.667314,0.0,0.0,0.0,,,,,,,,,,,,,,0.16634288430213928
11,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.127087,0.193262,0.261935,-0.939997,0.127087,0.193262,0.261935,-0.939997,0.5635434091091156,8,0.6309673190116882,0.030001431703567505,,,,,,,,,,
11,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.696172,-0.519531,-0.237236,,0.696172,-0.519531,-0.237236,0.0,,,,,,,0.8480859398841858,0.6201172024011612,0.3813817873597145,,,,,
11,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.470823,0.618516,-0.054001,0.002094,0.470823,0.618516,-0.054001,0.002094,,,,,,,,,,0.7354114651679993,0.809257984161377,249,0.5010470807319507,
11,4,verifier,verify_answer,verify_answer,0.7457,1,,-0.713699,,,,-0.713699,0.0,0.0,0.0,,,,,,,,,,,,,,0.1431504487991333
12,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.148247,0.331486,-0.21102,-0.495707,-0.148247,0.331486,-0.21102,-0.495707,0.4258766993880272,8,0.3944898843765259,0.2521464377641678,,,,,,,,,,
12,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.485519,-0.892384,-0.10807,,0.485519,-0.892384,-0.10807,0.0,,,,,,,0.7427593916654587,0.5269039571285248,0.4459647722542286,,,,,
12,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.459243,0.638243,0.008846,-0.287496,0.459243,0.638243,0.008846,-0.287496,,,,,,,,,,0.729621484875679,0.8191215991973877,220,0.35625188052654266,
12,4,verifier,verify_answer,verify_answer,0.5982,1,,-0.663405,,,,-0.663405,0.0,0.0,0.0,,,,,,,,,,,,,,0.16829735040664673
13,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.025817,0.394293,-0.215917,-0.952547,0.025817,0.394293,-0.215917,-0.952547,0.5129084130749106,9,0.3920416459441185,0.02372640371322632,,,,,,,,,,
13,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.711334,-0.808524,-0.172378,,0.711334,-0.808524,-0.172378,0.0,,,,,,,0.8556672036647797,0.5478690713644028,0.41381096094846725,,,,,
13,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.563369,0.496658,0.132719,0.162541,0.563369,0.496658,0.132719,0.162541,,,,,,,,,,0.7816843688488007,0.7483290135860443,294,0.5812705159187317,
13,4,verifier,verify_answer,verify_answer,0.7874,1,,-0.664953,,,,-0.664953,0.0,0.0,0.0,,,,,,,,,,,,,,0.16752326488494873
14,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.268731,0.160882,-0.564522,-0.583339,0.268731,0.160882,-0.564522,-0.583339,0.6343654990196228,8,0.21773895621299744,0.2083304524421692,,,,,,,,,,
14,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.439901,-0.710421,-0.125796,,0.439901,-0.710421,-0.125796,0.0,,,,,,,0.7199506014585495,0.5723946988582611,0.43710214644670486,,,,,
14,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.594538,0.656403,0.218533,-0.228895,0.594538,0.656403,0.218533,-0.228895,,,,,,,,,,0.7972689867019653,0.8282015323638916,250,0.38555236905813217,
14,4,verifier,verify_answer,verify_answer,0.6415,1,,-0.385808,,,,-0.385808,0.0,0.0,0.0,,,,,,,,,,,,,,0.30709612369537354
15,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.029934,0.152148,-0.202216,-0.854429,-0.029934,0.152148,-0.202216,-0.854429,0.4850330548360944,8,0.39889194071292877,0.07278567552566528,,,,,,,,,,
15,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.592702,-0.793507,-0.178542,,0.592702,-0.793507,-0.178542,0.0,,,,,,,0.7963511347770691,0.55162313580513,0.41072878241539,,,,,
15,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.776978,0.615227,0.044772,-0.07311,0.776978,0.615227,0.044772,-0.07311,,,,,,,,,,0.8884892165660858,0.8076134920120239,251,0.46344515681266785,
15,4,verifier,verify_answer,verify_answer,0.3897,1,,-0.276769,,,,-0.276769,0.0,0.0,0.0,,,,,,,,,,,,,,0.3616155982017517
16,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.098384,0.13964,-0.224863,-0.663642,0.098384,0.13964,-0.224863,-0.663642,0.5491920076310635,8,0.3875683918595314,0.16817894577980042,,,,,,,,,,
16,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.595777,-0.744641,-0.098289,,0.595777,-0.744641,-0.098289,0.0,,,,,,,0.7978884279727936,0.5638397634029388,0.45085566490888596,,,,,
16,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.510222,0.515043,-0.427555,-0.038236,0.510222,0.515043,-0.427555,-0.038236,,,,,,,,,,0.7551111280918121,0.7575214207172394,197,0.48088207840919495,
16,4,verifier,verify_answer,verify_answer,0.5352,1,,-0.438052,,,,-0.438052,0.0,0.0,0.0,,,,,,,,,,,,,,0.28097420930862427
17,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.011006,-0.324576,0.260584,-0.657914,-0.011006,-0.324576,0.260584,-0.657914,0.4944972353987396,6,0.6302921921014786,0.17104321718215942,,,,,,,,,,
17,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.50807,-0.906654,-0.253848,,0.50807,-0.906654,-0.253848,0.0,,,,,,,0.7540350556373596,0.5233365297317505,0.3730759173631668,,,,,
17,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.477522,0.201101,-0.11155,-0.325095,0.477522,0.201101,-0.11155,-0.325095,,,,,,,,,,0.7387608587741852,0.6005502715706825,201,0.33745238184928894,
17,4,verifier,verify_answer,verify_answer,0.3549,1,,-0.795746,,,,-0.795746,0.0,0.0,0.0,,,,,,,,,,,,,,0.10212698578834534
18,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.394038,-0.885606,0.473182,-0.690059,-0.394038,-0.885606,0.473182,-0.690059,0.3029812425374985,3,0.736591026186943,0.15497040748596191,,,,,,,,,,
18,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.438008,-0.39973,-0.483126,,0.438008,-0.39973,-0.483126,0.0,,,,,,,0.7190038859844208,0.6500674709677696,0.25843697786331177,,,,,
18,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.615684,-0.132535,0.147707,-0.766982,0.615684,-0.132535,0.147707,-0.766982,,,,,,,,,,0.8078420758247375,0.4337325096130371,168,0.11650922894477844,
18,4,verifier,verify_answer,verify_answer,0.727,1,,-0.871652,,,,-0.871652,0.0,0.0,0.0,,,,,,,,,,,,,,0.06417393684387207
19,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.446906,-0.961898,0.399481,-0.813935,-0.446906,-0.961898,0.399481,-0.813935,0.2765471786260605,3,0.6997403502464294,0.09303268790245056,,,,,,,,,,
19,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.201045,-1.0,-0.573322,,0.201045,-1.0,-0.573322,0.0,,,,,,,0.6005227267742157,0.5,0.21333923935890198,,,,,
19,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.170627,-0.815545,0.446584,-0.800023,-0.170627,-0.815545,0.446584,-0.800023,,,,,,,,,,0.41468627005815506,0.09222730994224548,187,0.09998860955238342,
19,4,verifier,verify_answer,verify_answer,0.4306,1,,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
20,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.725495,-0.868108,0.380922,-0.822181,-0.725495,-0.868108,0.380922,-0.822181,0.13725268840789795,3,0.6904611587524414,0.08890938758850098,,,,,,,,,,
20,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.643494,-1.0,-0.355637,,-0.643494,-1.0,-0.355637,0.0,,,,,,,0.1782531440258026,0.5,0.32218173146247864,,,,,
20,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.16041,-1.0,0.686638,-0.909154,-0.16041,-1.0,0.686638,-0.909154,,,,,,,,,,0.41979512572288513,0.0,187,0.0454230010509491,
20,4,verifier,verify_answer,verify_answer,0.4395,1,,-0.870042,,,,-0.870042,0.0,0.0,0.0,,,,,,,,,,,,,,0.06497883796691895
21,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.734583,-1.0,0.465291,-0.773563,-0.734583,-1.0,0.465291,-0.773563,0.13270840048789978,3,0.7326454520225525,0.11321848630905151,,,,,,,,,,
21,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.957817,-1.0,-0.892799,,-0.957817,-1.0,-0.892799,0.0,,,,,,,0.021091312170028687,0.5,0.05360066890716553,,,,,
21,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.248882,-0.679325,0.959305,-1.0,-0.248882,-0.679325,0.959305,-1.0,,,,,,,,,,0.37555891275405884,0.16033735871315002,189,0.0,
21,4,verifier,verify_answer,verify_answer,0.6904,1,,-0.860981,,,,-0.860981,0.0,0.0,0.0,,,,,,,,,,,,,,0.06950962543487549
22,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.23818,-0.837054,-0.057971,-0.996637,-0.23818,-0.837054,-0.057971,-0.996637,0.3809102177619934,3,0.47101462818682194,0.001681685447692871,,,,,,,,,,
22,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.651035,-1.0,-0.812075,,-0.651035,-1.0,-0.812075,0.0,,,,,,,0.17448237538337708,0.5,0.09396234154701233,,,,,
22,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.061541,-1.0,0.94161,-1.0,0.061541,-1.0,0.94161,-1.0,,,,,,,,,,0.5307705458253622,0.0,188,0.0,
22,4,verifier,verify_answer,verify_answer,0.6947,1,,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
23,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.774764,-1.0,0.653139,-1.0,-0.774764,-1.0,0.653139,-1.0,0.11261796951293945,3,0.8265696465969086,0.0,,,,,,,,,,
23,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.976025,-0.975484,-0.615365,,-0.976025,-0.975484,-0.615365,0.0,,,,,,,0.011987507343292236,0.5061288923025131,0.19231769442558289,,,,,
23,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.023793,-0.780564,0.977481,-1.0,-0.023793,-0.780564,0.977481,-1.0,,,,,,,,,,0.4881033329293132,0.10971823334693909,190,0.0,
23,4,verifier,verify_answer,verify_answer,0.7902,1,,-0.929777,,,,-0.929777,0.0,0.0,0.0,,,,,,,,,,,,,,0.03511139750480652
24,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.728946,-1.0,0.514285,-0.993708,-0.728946,-1.0,0.514285,-0.993708,0.13552719354629517,3,0.7571424245834351,0.003145933151245117,,,,,,,,,,
24,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.918273,-0.895668,-0.569281,,-0.918273,-0.895668,-0.569281,0.0,,,,,,,0.04086372256278992,0.5260829627513885,0.2153594195842743,,,,,
