episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.099398,0.255456,0.391111,0.34777,0.099398,0.255456,0.391111,0.34777,0.5496987700462341,20,0.6955555230379105,0.673884928226471,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,medium_filter,-0.07,0,generator,0.090738,-0.206672,-0.05451,,0.090738,-0.206672,-0.05451,0.0,,,,,,,0.5453688353300095,0.3966640755534172,0.47274512611329556,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.090887,-0.60066,0.429041,0.429954,0.090887,-0.60066,0.429041,0.429954,,,,,,,,,,0.5454435274004936,0.19966992735862732,933,0.714976891875267,
1,4,verifier,verify_answer,verify_answer,0.635,1,,-0.56711,,,,-0.56711,0.0,0.0,0.0,,,,,,,,,,,,,,0.21644514799118042
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.055138,-0.030086,0.047066,-0.026422,-0.055138,-0.030086,0.047066,-0.026422,0.4724310599267483,17,0.5235332287847996,0.48678896483033895,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.0644,-0.404175,-0.513331,,0.0644,-0.404175,-0.513331,0.0,,,,,,,0.5322001203894615,0.2979123145341873,0.2433343529701233,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,-0.47089,-0.123083,0.512555,0.297484,-0.47089,-0.123083,0.512555,0.297484,,,,,,,,,,0.264554962515831,0.4384586475789547,924,0.6487421542406082,
2,4,verifier,verify_answer,verify_answer,0.635,1,,-0.950785,,,,-0.950785,0.0,0.0,0.0,,,,,,,,,,,,,,0.02460727095603943
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.738135,0.586736,0.028333,0.166283,-0.738135,0.586736,0.028333,0.166283,0.13093248009681702,24,0.5141662526875734,0.5831415206193924,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.034896,-0.689679,-0.706381,,0.034896,-0.689679,-0.706381,0.0,,,,,,,0.5174477882683277,0.15516051650047302,0.1468096375465393,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.301306,-0.023309,0.423568,-0.281139,-0.301306,-0.023309,0.423568,-0.281139,,,,,,,,,,0.3493470996618271,0.4883453994989395,657,0.35943055152893066,
3,4,verifier,verify_answer,verify_answer,0.81,1,,-0.83106,,,,-0.83106,0.0,0.0,0.0,,,,,,,,,,,,,,0.08447009325027466
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.801269,0.348339,-0.06207,0.198726,-0.801269,0.348339,-0.06207,0.198726,0.09936568140983582,21,0.4689648039638996,0.5993627682328224,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.052415,-0.715031,-0.777038,,-0.052415,-0.715031,-0.777038,0.0,,,,,,,0.47379256784915924,0.14248448610305786,0.11148104071617126,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.716711,-0.06504,0.447962,-0.712115,-0.716711,-0.06504,0.447962,-0.712115,,,,,,,,,,0.14164447784423828,0.46747976168990135,499,0.14394274353981018,
4,4,verifier,verify_answer,verify_answer,0.635,1,,-0.499892,,,,-0.499892,0.0,0.0,0.0,,,,,,,,,,,,,,0.25005412101745605
5,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.844716,0.447612,-0.015243,0.018387,-0.844716,0.447612,-0.015243,0.018387,0.07764199376106262,23,0.4923786041326821,0.5091932853683829,,,,,,,,,,
5,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.441568,-0.632715,-0.70721,,-0.441568,-0.632715,-0.70721,0.0,,,,,,,0.27921614050865173,0.18364250659942627,0.1463947594165802,,,,,
5,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.612311,0.276773,0.245895,-0.824293,-0.612311,0.276773,0.245895,-0.824293,,,,,,,,,,0.19384431838989258,0.6383865922689438,403,0.087853342294693,
5,4,verifier,verify_answer,verify_answer,0.635,1,,-0.440394,,,,-0.440394,0.0,0.0,0.0,,,,,,,,,,,,,,0.27980275452136993
