episode,step,agent,discrete_action,reward,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,source_focus_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
1,1,retriever,hybrid_rerank,-0.1644,0.5468045473098755,-0.3161752223968506,0.6424981355667114,0.20314595103263855,0.7734022736549377,13,0.8212490677833557,0.6015729755163193,,,,,,,,,,,,
1,2,grader,loose_filter,-0.2433,-0.3475927412509918,-0.2049788385629654,-0.44170427322387695,,,,,,,,,0.3262036293745041,0.3975105807185173,0.2791478633880615,,,,,,
1,3,generator,generate_answer,-0.2497,0.1645546853542328,-0.10094185918569565,0.002174134599044919,0.2619805335998535,,,,,,,,,,,0.5822773426771164,0.4495290704071522,576,0.6309902667999268,,
1,4,verifier,verify_answer,-0.2556,0.4607362449169159,-0.6116110682487488,,,,,,,,,,,,,,,,,0.730368122458458,0.1941944658756256
1,5,verifier,request_rewrite,-0.2556,0.5459402203559875,-0.5044028759002686,,,,,,,,,,,,,,,,,0.7729701101779938,0.24779856204986572
1,6,rewriter,multi_query_rewrite,-0.2576,0.5050598978996277,0.21489933133125305,-0.3440137803554535,,,,,,0.7525299489498138,0.6074496656656265,0.32799310982227325,,,,,,,,,
1,7,retriever,hybrid_rerank,-0.287,0.3890390694141388,0.3014492094516754,0.5641176104545593,0.5502423048019409,0.6945195347070694,21,0.7820588052272797,0.7751211524009705,,,,,,,,,,,,
1,8,grader,loose_filter,-0.446,-0.17109762132167816,-0.08979476243257523,-0.26537278294563293,,,,,,,,,0.4144511893391609,0.4551026187837124,0.36731360852718353,,,,,,
1,9,generator,generate_answer,-0.5045,0.23700976371765137,0.05334119126200676,-0.219011589884758,-0.010208231396973133,,,,,,,,,,,0.6185048818588257,0.5266705956310034,477,0.49489588430151343,,
1,10,verifier,verify_answer,-0.5914,0.5986788868904114,-0.6220798492431641,,,,,,,,,,,,,,,,,0.7993394434452057,0.18896007537841797
1,11,verifier,request_rewrite,-0.5914,0.3443579077720642,-0.7380054593086243,,,,,,,,,,,,,,,,,0.6721789538860321,0.13099727034568787
1,12,rewriter,keyword_rewrite,-1.3031,0.39430245757102966,0.1475418657064438,-0.5339002013206482,,,,,,0.6971512287855148,0.5737709328532219,0.2330498993396759,,,,,,,,,
2,1,retriever,hybrid_rerank,-0.1433,0.4223517179489136,-0.13397596776485443,0.9664031267166138,0.31179022789001465,0.7111758589744568,15,0.9832015633583069,0.6558951139450073,,,,,,,,,,,,
2,2,grader,rerank_only,-0.1933,-0.22306658327579498,-0.14947941899299622,-0.7609689831733704,,,,,,,,,0.3884667083621025,0.4252602905035019,0.11951550841331482,,,,,,
2,3,generator,generate_answer,-0.1969,0.53730309009552,-0.02224069833755493,0.04863925278186798,0.42838966846466064,,,,,,,,,,,0.76865154504776,0.48887965083122253,597,0.7141948342323303,,
2,4,verifier,verify_answer,-0.241,0.0020178493577986956,-0.7119974493980408,,,,,,,,,,,,,,,,,0.5010089246788993,0.14400127530097961
2,5,verifier,request_more_retrieval,-0.241,-0.06744558364152908,-0.5107179880142212,,,,,,,,,,,,,,,,,0.46627720817923546,0.2446410059928894
2,6,retriever,retrieve_more,-0.1924,0.16324886679649353,-0.2987511157989502,0.8837377429008484,0.6508988738059998,0.5816244333982468,13,0.9418688714504242,0.8254494369029999,,,,,,,,,,,,
2,7,grader,rerank_only,-0.2424,0.09827203303575516,-0.19159303605556488,-0.8284299373626709,,,,,,,,,0.5491360165178776,0.40420348197221756,0.08578503131866455,,,,,,
2,8,generator,generate_answer,-0.3576,0.43644794821739197,0.04117361828684807,-0.03009786270558834,0.4346049726009369,,,,,,,,,,,0.718223974108696,0.520586809143424,562,0.7173024863004684,,
2,9,verifier,verify_answer,-0.4974,-0.02357395365834236,-0.5679776072502136,,,,,,,,,,,,,,,,,0.4882130231708288,0.2160111963748932
2,10,verifier,request_more_retrieval,-0.4974,-0.06239546090364456,-0.6092197895050049,,,,,,,,,,,,,,,,,0.4688022695481777,0.19539010524749756
2,11,retriever,retrieve_more,-0.4489,0.0730074942111969,-0.23538602888584137,1.0,0.6627600789070129,0.5365037471055984,14,1.0,0.8313800394535065,,,,,,,,,,,,
2,12,grader,rerank_only,-0.9989,-0.014157196506857872,-0.06905408203601837,-0.7516297698020935,,,,,,,,,0.49292140174657106,0.4654729589819908,0.12418511509895325,,,,,,
3,1,retriever,hybrid_rerank,-0.1272,0.5152378082275391,-0.2724739611148834,1.0,0.14783506095409393,0.7576189041137695,14,1.0,0.573917530477047,,,,,,,,,,,,
3,2,grader,rerank_only,-0.1772,-0.13324317336082458,-0.2240058034658432,-0.688825249671936,,,,,,,,,0.4333784133195877,0.3879970982670784,0.15558737516403198,,,,,,
3,3,generator,generate_answer,-0.1824,0.11718329042196274,-0.4039474129676819,-0.12010487914085388,-0.19097375869750977,,,,,,,,,,,0.5585916452109814,0.29802629351615906,522,0.4045131206512451,,
3,4,verifier,verify_answer,0.6532,0.4339536130428314,-0.5379573106765747,,,,,,,,,,,,,,,,,0.7169768065214157,0.23102134466171265
4,1,retriever,hybrid_rerank,-0.1295,0.7373409867286682,-0.29880809783935547,0.9883491396903992,0.42389780282974243,0.8686704933643341,13,0.9941745698451996,0.7119489014148712,,,,,,,,,,,,
4,2,grader,rerank_only,-0.1795,-0.108209028840065,-0.4466818571090698,-0.6982171535491943,,,,,,,,,0.4458954855799675,0.2766590714454651,0.15089142322540283,,,,,,
4,3,generator,generate_answer,-0.1844,0.12975260615348816,-0.2038637101650238,-0.19947881996631622,0.16237211227416992,,,,,,,,,,,0.5648763030767441,0.3980681449174881,486,0.581186056137085,,
4,4,verifier,verify_answer,-0.2091,0.5602788925170898,-0.8070957064628601,,,,,,,,,,,,,,,,,0.7801394462585449,0.09645214676856995
4,5,verifier,request_rewrite,-0.2091,0.3828415274620056,-0.744022011756897,,,,,,,,,,,,,,,,,0.6914207637310028,0.1279889941215515
4,6,rewriter,expanded_rewrite,-0.227,-0.026241347193717957,0.4827212393283844,0.08557865023612976,,,,,,0.486879326403141,0.7413606196641922,0.5427893251180649,,,,,,,,,
4,7,retriever,hybrid_rerank,-0.2638,0.5374578237533569,0.09659070521593094,0.7576038241386414,0.46599918603897095,0.7687289118766785,18,0.8788019120693207,0.7329995930194855,,,,,,,,,,,,
4,8,grader,rerank_only,-0.3138,0.3215896189212799,-0.6019418239593506,-0.80129474401474,,,,,,,,,0.66079480946064,0.1990290880203247,0.09935262799263,,,,,,
4,9,generator,generate_answer,-0.3179,0.19399641454219818,-0.01769842766225338,-0.4038407802581787,0.21509777009487152,,,,,,,,,,,0.5969982072710991,0.4911507861688733,395,0.6075488850474358,,
4,10,verifier,verify_answer,-0.3199,0.07708504050970078,-0.8475685119628906,,,,,,,,,,,,,,,,,0.5385425202548504,0.07621574401855469
4,11,verifier,request_more_retrieval,-0.3199,-0.11472885310649872,-0.8190470933914185,,,,,,,,,,,,,,,,,0.44263557344675064,0.09047645330429077
4,12,retriever,retrieve_more,-0.771,0.3581031560897827,0.38541075587272644,0.9913012981414795,0.26096072793006897,0.6790515780448914,22,0.9956506490707397,0.6304803639650345,,,,,,,,,,,,
5,1,retriever,hybrid_rerank,-0.136,0.5520241260528564,-0.630237340927124,0.854617178440094,-0.07979990541934967,0.7760120630264282,9,0.927308589220047,0.46010004729032516,,,,,,,,,,,,
5,2,grader,rerank_only,-0.186,0.06320559978485107,-0.521034836769104,-0.742981493473053,,,,,,,,,0.5316027998924255,0.239482581615448,0.1285092532634735,,,,,,
