question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
"Considering the updates on Azure's AI capabilities from a Bloomberg article and the expansion of Azure's data center regions as reported by Reuters, which single letter of the alphabet is the starting character for both the new AI feature announced and the name of the latest country to have an Azure data center announced?",Insufficient information.,Insufficient information,context_marl_ac,[],"[""Digital_twin_market_Analyzing_growth_and_4_emergin.md"", ""Theres_something_going_on_with_AI_startups_in_Fran.md"", ""ChatGPT_Everything_you_need_to_know_about_the_AI-p.md"", ""People_are_turning_to_Snap_Map_for_firsthand_persp.md"", ""The_US_Senate_and_Silicon_Valley_reconvene_for_a_s.md""]",null_query,hard,86.7298,ok,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"Between the report by The Verge on Google's impact on the internet's appearance published on November 1, 2023, and the TechCrunch article discussing the class action antitrust suit against Google published on December 15, 2023, was there a change in the portrayal of Google's influence on the internet and its stakeholders?",Yes,No,context_marl_ac,"[""Early_impressions_of_Googles_Gemini_arent_great.md"", ""News_publisher_files_class_action_antitrust_suit_a.md"", ""The_people_who_ruined_the_internet.md""]","[""News_publisher_files_class_action_antitrust_suit_a.md"", ""News_publisher_files_class_action_antitrust_suit_a.md"", ""News_publisher_files_class_action_antitrust_suit_a.md"", ""News_publisher_files_class_action_antitrust_suit_a.md"", ""News_publisher_files_class_action_antitrust_suit_a.md""]",temporal_query,hard,32.9689,ok,,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0
"Considering the information from a New York Times article detailing Mattel Creations' collaboration with a famous artist and a Forbes report on Mattel Creations' release of a new toy line inspired by a classic movie series, which character from the movie series, now featured in the artist's collection, has been turned into a limited-edition toy by Mattel Creations?",Insufficient information.,Insufficient information,context_marl_ac,[],"[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",null_query,hard,142.9889,ok,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"Did both the Sporting News report and the CBSSports.com report state that Tyreek Hill's chances of achieving 2,000-plus receiving yards before December 5, 2023, remained unchanged in their reporting of his progress towards his season goal?",no,No,context_marl_ac,"[""Fantasy_Football_Week_16_Wide_Receiver_Preview_Wai.md"", ""NFL_awards_odds_Six_longshots_bettors_should_consi.md""]","[""Fantasy_Football_Week_16_Wide_Receiver_Preview_Wai.md"", ""NFL_awards_odds_Six_longshots_bettors_should_consi.md"", ""N.F.L._Executives_on_the_Biggest_Questions_Facing_.md"", ""Dolphins_vs._Eagles_live_score_updates_highlights_.md"", ""Fantasy_Football_Week_16_Wide_Receiver_Preview_Wai.md""]",temporal_query,hard,84.1275,ok,,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Did the Sporting News article claim that the San Francisco 49ers were defeated by the Seahawks on Thanksgiving align with the Sporting News report on The Wolverines (Michigan football team) winning The Game for the third consecutive year in terms of both teams achieving recent victories?,no,No,context_marl_ac,"[""Michigan_conquers_Ohio_State_again_but_the_story_i.md"", ""DraftKings_Picks_Week_14_Best_NFL_DFS_lineup_advic.md""]","[""Why_is_Brock_Purdy_called_Mr._Irrelevant_Story_beh.md"", ""Michigan_sign-stealing_scandal_winners_and_losers_.md"", ""Cowboys_vs._49ers_live_score_updates_highlights_fr.md"", ""Are_NBA_Christmas_Day_Games_a_Better_Tradition_Tha.md"", ""Michigan_sign-stealing_scandal_winners_and_losers_.md""]",comparison_query,hard,74.0013,ok,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"What company is associated with the AI model Gemini, which claims to rival the performance of GPT-4, and is also the subject of a class action antitrust suit reported by TechCrunch for harming news publishers' revenues and content through alleged anticompetitive practices?",Google,Google,context_marl_ac,"[""Early_impressions_of_Googles_Gemini_arent_great.md"", ""News_publisher_files_class_action_antitrust_suit_a.md""]","[""News_publisher_files_class_action_antitrust_suit_a.md"", ""News_publisher_files_class_action_antitrust_suit_a.md"", ""Early_impressions_of_Googles_Gemini_arent_great.md"", ""News_publisher_files_class_action_antitrust_suit_a.md"", ""Early_impressions_of_Googles_Gemini_arent_great.md""]",inference_query,hard,71.7488,ok,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Who, according to articles from The New York Times and The Washington Post, served as the Secretary of Homeland Security under President Obama and was also a key speaker at a cybersecurity conference in 2019?",Insufficient information.,Jeh Johnson,context_marl_ac,[],"[""U.S.-China_relations_are_now_more_about_crisis_pre.md"", ""Republicans_dump_Jim_Jordan_as_House_Speaker_nomin.md"", ""Sweeping_White_House_AI_executive_order_takes_aim_.md"", ""EU_lawmakers_bag_late_night_deal_on_global_first_A.md"", ""Sweeping_White_House_AI_executive_order_takes_aim_.md""]",null_query,hard,133.0136,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Has the focus on the need for car companies to embrace software, robotics, and artificial intelligence as reported by TechCrunch before October 1, 2023, remained consistent with the report on December 5, 2023, about Automakers and technology companies creating advanced digital platforms for vehicles?",Yes,Yes,context_marl_ac,"[""SoftBank_Corp_takes_51_of_Cubic_Telecom_for_513M_t.md"", ""A_tale_of_two_research_institutes.md""]","[""SoftBank_Corp_takes_51_of_Cubic_Telecom_for_513M_t.md"", ""8_predictions_for_AI_in_2024.md"", ""A_tale_of_two_research_institutes.md"", ""SoftBank_Corp_takes_51_of_Cubic_Telecom_for_513M_t.md"", ""Robotics_QA_with_Boston_Dynamics_Aaron_Saunders.md""]",temporal_query,hard,32.5772,ok,,1.0,1.0,1.0,1.0,0.5,1.0,1.0
"Based on a New York Times article discussing Sacha Baron Cohen's advocacy for stricter regulations on social media platforms and a Variety piece highlighting his casting in a new historical drama series, which character, portrayed by Cohen in a film that was referenced in both articles, is known for his flamboyant fashion and controversial interviews?",Insufficient information.,"Sacha Baron Cohen is known for his portrayal of Bruno, a flamboyant Austrian fashion designer, in the film ""Brüno"" which was referenced in the articles",context_marl_ac,[],"[""Every_movie_and_show_coming_to_Netflix_in_November.md"", ""How_the_conspiracy-fueled_Epoch_Times_went_mainstr.md"", ""X_formerly_Twitter_is_worst_for_disinformation_per.md"", ""6_games_to_play_first_on_your_new_Nintendo_Switch.md"", ""How_the_conspiracy-fueled_Epoch_Times_went_mainstr.md""]",null_query,hard,111.135,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Did 'The Verge' article imply that Alameda Research was treated the same as other accounts at FTX without any special financial privileges, while the 'Fortune' article claims that Alameda Research's business practices with FTX were illegal, suggesting an undue advantage?",no,Yes,context_marl_ac,"[""Is_Sam_Bankman-Fried_a_bad_man_or_a_good_boy_Lawye.md"", ""Sam_Bankman-Fried_was_a_terrible_boyfriend.md""]","[""Today_the_FTX_jury_suffered_through_a_code_review.md"", ""Sex_Signal_messages_and_sabotaging_FTXs_code_SBF_e.md"", ""In_the_end_the_FTX_trial_was_about_the_friends_scr.md"", ""In_the_end_the_FTX_trial_was_about_the_friends_scr.md"", ""Is_Sam_Bankman-Fried_a_bad_man_or_a_good_boy_Lawye.md""]",comparison_query,hard,74.8098,ok,,0.0,0.0,0.0,1.0,0.25,0.5,0.2
